"crosswalk_id","canonical_locality_id","canonical_code","pcode","governorate_id","district_or_equivalent_id","municipality_id","current_name_en","candidate_name_ar","normalized_name_ar","source_id","source_record_id","source_name_en","source_name_ar","source_governorate","source_district","match_method","match_keys","confidence","review_status","conflict_status","reviewed_by","reviewed_at","notes"
"LB-XW-EBEE3451D4E7","LB-LOC-B6E0445DF913","LB-LOC-B6E0445DF913","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Ain_et-Tineh-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-2929E00740C9","LB-LOC-FAAE67698E58","LB-LOC-FAAE67698E58","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Ain_ez-Zouq","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-281692652330","LB-LOC-CCA03F1190F2","LB-LOC-CCA03F1190F2","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Akkar_el-Atika","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-21D7973ACBD8","LB-LOC-CE7DB9E869D9","LB-LOC-CE7DB9E869D9","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Akkar_el-Atika_Aala","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-5AEBF39221B8","LB-LOC-12B799DE66BB","LB-LOC-12B799DE66BB","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Amaayer","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-3B24C6C9F37E","LB-LOC-3763C2F4BB27","LB-LOC-3763C2F4BB27","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Amara","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-ECA10B126F27","LB-LOC-B9006B065FA4","LB-LOC-B9006B065FA4","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Ambeh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-11D622E89E31","LB-LOC-4371EEF2814F","LB-LOC-4371EEF2814F","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Andaket","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-2EE33BDE7C6B","LB-LOC-3489BEA5F617","LB-LOC-3489BEA5F617","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Aqbeh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-54AC03C35E11","LB-LOC-FE27B0578FF0","LB-LOC-FE27B0578FF0","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Arqa","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-10E54F334DEB","LB-LOC-C02F37CDD9CB","LB-LOC-C02F37CDD9CB","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Ayat","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-035450780156","LB-LOC-0F6186A4399B","LB-LOC-0F6186A4399B","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Barqayel","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-6D5488379C9B","LB-LOC-194044CB7A9F","LB-LOC-194044CB7A9F","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Bebnine","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-602956188E8D","LB-LOC-4DE322BBB013","LB-LOC-4DE322BBB013","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Ayad","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-B6E1ACE55CDB","LB-LOC-12C8D17C3B52","LB-LOC-12C8D17C3B52","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Ayoub","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-34B03AFE745E","LB-LOC-3676A5FD9E08","LB-LOC-3676A5FD9E08","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Challa","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-AA5273AA6648","LB-LOC-60D8727EC9EC","LB-LOC-60D8727EC9EC","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Dawoud","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-99164DAC4DFB","LB-LOC-C3D3833BD810","LB-LOC-C3D3833BD810","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Ghatas","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-1DAD1D7D149E","LB-LOC-69096215F6E8","LB-LOC-69096215F6E8","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Hawik","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-C17B52874904","LB-LOC-C744803BA4EC","LB-LOC-C744803BA4EC","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Jaafar-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-8195CE4A80AD","LB-LOC-C6D5FBBC8A46","LB-LOC-C6D5FBBC8A46","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Mellat","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-542A247D8C75","LB-LOC-42847D6188C8","LB-LOC-42847D6188C8","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Mleik","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-7436184E7459","LB-LOC-F26A20DBC549","LB-LOC-F26A20DBC549","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Younes","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-527F2636905F","LB-LOC-C917AD1395B7","LB-LOC-C917AD1395B7","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_Younes_el-Aala","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-DC2D98C2C3FF","LB-LOC-87AF6A506314","LB-LOC-87AF6A506314","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_el-Haj","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-793367873F35","LB-LOC-E1256D0D6759","LB-LOC-E1256D0D6759","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_el-Haj_Hassan","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-CACA89821D50","LB-LOC-ACAE1E490634","LB-LOC-ACAE1E490634","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Beit_el-Qadi","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-CCAF33102D59","LB-LOC-7365D28B0183","LB-LOC-7365D28B0183","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Bino-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-091B51C0DF45","LB-LOC-3B5FBE5042FD","LB-LOC-3B5FBE5042FD","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Bireh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-A8F755740CE1","LB-LOC-A9C88A80B497","LB-LOC-A9C88A80B497","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Bireh-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-D74612258B65","LB-LOC-5AE94721E014","LB-LOC-5AE94721E014","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Blaneh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-D2F994665F46","LB-LOC-6F08286AD76D","LB-LOC-6F08286AD76D","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Bniha","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-A41A2C470450","LB-LOC-30DFF735F16B","LB-LOC-30DFF735F16B","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Bticha","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-E3698645C9F8","LB-LOC-6453629EA650","LB-LOC-6453629EA650","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Byoud","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-05732DF6E685","LB-LOC-53615AF9346D","LB-LOC-53615AF9346D","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Bzal","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-66837CACE676","LB-LOC-D77C6D0BD7F8","LB-LOC-D77C6D0BD7F8","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Chaft","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-C49FC4A7D51A","LB-LOC-C3DF64E0096A","LB-LOC-C3DF64E0096A","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Chane","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-01108AF1E8B9","LB-LOC-AA5F0B403A2B","LB-LOC-AA5F0B403A2B","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Chdra","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-FE87410BD0D3","LB-LOC-8E672F405A1E","LB-LOC-8E672F405A1E","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Cheikh_Ayache","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-911EDD6A53EA","LB-LOC-136F23CE1EBC","LB-LOC-136F23CE1EBC","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Cheikh_Mohammad","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-D00EE0F8CA2C","LB-LOC-B8EE8186CCDB","LB-LOC-B8EE8186CCDB","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Cheikh_Taba","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-6E3D226E4B36","LB-LOC-5F68AC21939B","LB-LOC-5F68AC21939B","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Daghleh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-4494D558CBD9","LB-LOC-32C841CAABD6","LB-LOC-32C841CAABD6","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Dawsseh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-F301E2CAD60C","LB-LOC-2C9FD6F7B4AA","LB-LOC-2C9FD6F7B4AA","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Dbabiyeh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-6D918929927B","LB-LOC-55E703404D67","LB-LOC-55E703404D67","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Dbabiyeh_el-Fawqa","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-2E8C508BE4AE","LB-LOC-67510F4F9619","LB-LOC-67510F4F9619","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Deir_Jnine","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-F25C22670F55","LB-LOC-A8D525EC44EF","LB-LOC-A8D525EC44EF","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","El-Achach","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-B09BF0A45C83","LB-LOC-66537561732A","LB-LOC-66537561732A","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","El-Basatine","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-CAFFB5671FE8","LB-LOC-E19D5FFBBA7E","LB-LOC-E19D5FFBBA7E","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","El-Kniseh-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-F533626BC3D4","LB-LOC-42AFCEB6B23C","LB-LOC-42AFCEB6B23C","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","El-Qubbeh-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-E37DA7E9EAC2","LB-LOC-7FA25B7EE41D","LB-LOC-7FA25B7EE41D","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","El-Qubbeh_ech-Chamaliye","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-4576C6A580DC","LB-LOC-BFA6ABA93EE2","LB-LOC-BFA6ABA93EE2","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","El_Qobaiyat","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-379D12B0A0FD","LB-LOC-9AD9DF4899BB","LB-LOC-9AD9DF4899BB","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Faydha","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-3F4D7FE62847","LB-LOC-B47B7DAAFE43","LB-LOC-B47B7DAAFE43","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Fnaideq","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-9DA4C37F039C","LB-LOC-3CA1AEB5BC4C","LB-LOC-3CA1AEB5BC4C","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Fnaideq_el-Gharbiye","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-265DB43FBC20","LB-LOC-1701EAD26C96","LB-LOC-1701EAD26C96","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hakour","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-0839219E6D45","LB-LOC-0ACBC221BDC4","LB-LOC-0ACBC221BDC4","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Halba","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-D829CE306973","LB-LOC-5BD697303EF3","LB-LOC-5BD697303EF3","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Halba_el-Aalya","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-696AC9E27A47","LB-LOC-D620767CD794","LB-LOC-D620767CD794","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Halbata","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-378B2AD9138D","LB-LOC-19BB8CED948A","LB-LOC-19BB8CED948A","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hamra-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-49991A5475C1","LB-LOC-31760CC7E728","LB-LOC-31760CC7E728","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hamraya","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-B912DF1801F8","LB-LOC-164D04E72BA3","LB-LOC-164D04E72BA3","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Haql_Hassan","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-5B17BA785D47","LB-LOC-1DA9DC2E5953","LB-LOC-1DA9DC2E5953","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Haql_el-Alam","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-5B16B7B7DAD5","LB-LOC-8CC9CB005B8A","LB-LOC-8CC9CB005B8A","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Haqr_ed-Dahiri","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-630784E6BCC1","LB-LOC-41D822E7F1D3","LB-LOC-41D822E7F1D3","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Harbata-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-289AA72175E2","LB-LOC-0E5A46E865FF","LB-LOC-0E5A46E865FF","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Haret_el-Janneh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-A655969B4C8C","LB-LOC-13CAF4690B8E","LB-LOC-13CAF4690B8E","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hbchit","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-E9E71D64B572","LB-LOC-80A31984A3A8","LB-LOC-80A31984A3A8","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hnaydir","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-014549C14445","LB-LOC-0F84E0E8033B","LB-LOC-0F84E0E8033B","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hnaydir_el-Aalya","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-7CA2AE2CCB97","LB-LOC-7EB191B706AE","LB-LOC-7EB191B706AE","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Houch_es-Sayed_Ali","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-D3B4B8EDA17B","LB-LOC-A29EB5E95468","LB-LOC-A29EB5E95468","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hrar","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-72BCA2C8976F","LB-LOC-A27B0C29EF73","LB-LOC-A27B0C29EF73","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hrara","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-34A2246A9A5D","LB-LOC-12840C10AF06","LB-LOC-12840C10AF06","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hwacheb","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-49B016890F16","LB-LOC-2136D1978975","LB-LOC-2136D1978975","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Hwaych","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-6CF320443922","LB-LOC-E89FB312EF2A","LB-LOC-E89FB312EF2A","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Jahiliye-AK","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-DFE982D7EE2E","LB-LOC-9608EDACD13F","LB-LOC-9608EDACD13F","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Jbraiel","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-124711BCA766","LB-LOC-4CB683AE2E6C","LB-LOC-4CB683AE2E6C","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Jdeidet_Akkar","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-80669EC1C1A2","LB-LOC-4F8AC423E56F","LB-LOC-4F8AC423E56F","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Jdeidet_el-Qaytaa","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-D80054FD3335","LB-LOC-A6BC225893B3","LB-LOC-A6BC225893B3","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Jmaleh","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-60F9FDF22DE8","LB-LOC-CB8B4D46E49F","LB-LOC-CB8B4D46E49F","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Jord","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
"LB-XW-7F4656826DE5","LB-LOC-937F088D5B39","LB-LOC-937F088D5B39","","LB-GOV-AKK","LB-DIST-BF0E8E432529","","Karm_Asfour","","","","","","","","","fuzzy-suggestion","","0","unresolved","none","","","No authoritative Arabic source with stable identity or exact hierarchy/name match"
