record_type,runtime_name_en,name_ar,aliases_en,aliases_ar,parent_governorate_en,source_id,source_record_id,source_url,authority_classification
district,Kesrouan,كسروان,Kesrouan|Keserwan|Kesserwan,,Mount Lebanon,DGCS-STATISTICS-MAP,Kesrouan district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Jbeil,جبيل,Jbeil|Byblos,,Mount Lebanon,DGCS-STATISTICS-MAP,Jbeil district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Tripoli,طرابلس,Tripoli|Trablous,,North,DGCS-STATISTICS-MAP,Tripoli district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Zgharta,زغرتا,Zgharta|Zghorta,,North,DGCS-STATISTICS-MAP,Zgharta district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Bcharre,بشري,Bcharre|Bsharri|Bcharreh,,North,DGCS-STATISTICS-MAP,Bcharre district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Batroun,البترون,Batroun|El Batroun,,North,DGCS-STATISTICS-MAP,Batroun district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Koura,الكورة,Koura|El Koura,الكوره,North,DGCS-STATISTICS-MAP,Koura district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Miniyeh-Danniyeh,المنية-الضنية,Miniyeh-Danniyeh|Minieh-Danniyeh|El Minieh-Dennie,المنية - الضنية,North,DGCS-STATISTICS-MAP,Miniyeh-Danniyeh district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Saida,صيدا,Saida|Sidon,,South,DGCS-STATISTICS-MAP,Saida district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Sour,صور,Sour|Tyre,,South,DGCS-STATISTICS-MAP,Sour district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Jezzine,جزين,Jezzine|Jezzin,,South,DGCS-STATISTICS-MAP,Jezzine district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Nabatieh,النبطية,Nabatieh|Nabatiyeh|El Nabatieh,,El Nabatieh,DGCS-STATISTICS-MAP,Nabatieh district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Bent Jbeil,بنت جبيل,Bent Jbeil|Bint Jbeil,,El Nabatieh,DGCS-STATISTICS-MAP,Bent Jbeil district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Marjaayoun,مرجعيون,Marjaayoun|Marjayoun|Marjeyoun,,El Nabatieh,DGCS-STATISTICS-MAP,Marjaayoun district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district,Hasbaya,حاصبيا,Hasbaya|Hasbayya,,El Nabatieh,DGCS-STATISTICS-MAP,Hasbaya district,https://www.dgcs.gov.lb/arabic/statistics-map,PRIMARY_OFFICIAL
district_equivalent,Beirut,بيروت,Beirut,,Beirut,IDAL-REGIONS,Beirut governorate has no district subdivision; UI equivalent only,https://investinlebanon.gov.lb/ar/lebanon_at_a_glance/invest_in_regions,PRIMARY_OFFICIAL
