"MUHAFAZA","CAZA","VILLAGE_NAME","VILLAGE_NAME_AR","VILLAGE_CODE","ADM3_PCODE","AREA_SQKM","CENTER_LAT","CENTER_LON","DWG_PATH","SOURCE_CRS","NOTES"
"Akkar","Akkar","Cheikh Zennad","الشيخ زناد","LB_Akka_Akka_Cheikh_Zenna","35267","8.89828527","34.61133454","35.99717436","","22700",""
"Akkar","Akkar","Cheikhlar","شيخلار","LB_Akka_Akka_Cheikhlar","35402","2.65109388","34.61994607","36.27798376","","22700",""
"Akkar","Akkar","Chir Hmairine","شير حمارين","LB_Akka_Akka_Chir_Hmairin","35224","4.87358321","34.62333336","36.10150596","","22700",""
"Akkar","Akkar","Daghleh","الدغلة","LB_Akka_Akka_Daghleh","35419","1.00910397","34.5799263","36.21335808","","22700",""
"Akkar","Akkar","Dahr Laissine","ضهر ليسينه","LB_Akka_Akka_Dahr_Laissin","35155","3.0353316","34.53912922","36.13917067","","22700",""
"Akkar","Akkar","Daouret Aakkar","الدوره","LB_Akka_Akka_Daouret_Aakk","35126","7.01484775","34.54490924","36.22232754","","22700",""
"Akkar","Akkar","Darine","دارين","LB_Akka_Akka_Darine","35225","4.15916597","34.61041715","36.10402549","","22700",""
"Akkar","Akkar","Dayret Nahr El-Kabir","دائرة النهر الكبير","LB_Akka_Akka_Dayret_Nahr_","35511","11.58743743","34.67702765","36.33158004","","22700",""
"Akkar","Akkar","Deir Dalloum","دير دلوم","LB_Akka_Akka_Deir_Dalloum","35149","3.39250398","34.52567172","36.01840347","","22700",""
"Akkar","Akkar","Deir Jannine","دير جنين","LB_Akka_Akka_Deir_Jannine","35441","5.84435307","34.56660852","36.17642791","","22700",""
"Akkar","Akkar","Dibbabiyeh","دبابية","LB_Akka_Akka_Dibbabiyeh","35432","3.87769553","34.62704141","36.20866385","","22700",""
"Akkar","Akkar","Dinbou","دنبو عين الذهب","LB_Akka_Akka_Dinbou","35318","11.94283506","34.48903737","36.08430394","","22700",""
"Akkar","Akkar","Douair Aadouiyeh","دوير عدويه","LB_Akka_Akka_Douair_Aadou","35443","0.59576335","34.58020723","36.17220345","","22700",""
"Akkar","Akkar","Fnaydeq","النبي خالد","LB_Akka_Akka_Fnaydeq","35353","32.23113396","34.45923044","36.22006118","","22700",""
"Akkar","Akkar","Fraydes Aakkar","فريديس","LB_Akka_Akka_Fraydes_Aakk","35412","1.37845462","34.61736032","36.2272085","","22700",""
"Akkar","Akkar","Ghazayleh","الغزيله","LB_Akka_Akka_Ghazayleh","35475","2.91588144","34.59739042","36.10952871","","22700",""
"Akkar","Akkar","Habchit","حبشيت","LB_Akka_Akka_Habchit","35326","8.41681485","34.46770132","36.09094061","","22700",""
"Akkar","Akkar","Hakour","مشيلحة الحاكور","LB_Akka_Akka_Hakour","35131","0.72648001","34.52513775","36.05302755","","22700",""
"Akkar","Akkar","Halba","حلبا","LB_Akka_Akka_Halba","35111","4.99807828","34.55468929","36.07270725","","22700",""
"Akkar","Akkar","Haouchab","هوشب","LB_Akka_Akka_Haouchab","35219","1.4885306","34.58666969","36.10164105","","22700",""
"Akkar","Akkar","Hayssa","الحيصة","LB_Akka_Akka_Hayssa","35221","2.09628106","34.58882649","36.04973553","","22700",""
"Akkar","Akkar","Haytla","هيتلا","LB_Akka_Akka_Haytla","35463","2.40016731","34.60449682","36.13026137","","22700",""
"Akkar","Akkar","Hayzouq","حيزوق","LB_Akka_Akka_Hayzouq","35139","3.00166097","34.55119939","36.13692596","","22700",""
"Akkar","Akkar","Hedd","الهد","LB_Akka_Akka_Hedd","35169","1.23001947","34.56262393","36.15663073","","22700",""
"Akkar","Akkar","Hmaireh Aakkar","الحميرة","LB_Akka_Akka_Hmaireh_Aakk","35331","2.86103082","34.49549137","36.04730321","","22700",""
"Akkar","Akkar","Hmaiss Aakkar","حميص","LB_Akka_Akka_Hmaiss_Aakka","35470","1.71260152","34.57384863","36.12479393","","22700",""
"Akkar","Akkar","Hnaider","حنيدر","LB_Akka_Akka_Hnaider","35514","9.9599492","34.61546422","36.41891726","","22700",""
"Akkar","Akkar","Hokr Ed-Dahri","حكر الضاهري","LB_Akka_Akka_Hokr_Ed_Dahr","35253","0.36318438","34.63118811","36.02414921","","22700",""
"Akkar","Akkar","Hokr Etti","حكر قتة","LB_Akka_Akka_Hokr_Etti","35223","2.53107419","34.56866439","36.10969098","","22700",""
"Akkar","Akkar","Hokr Jouret Srar","حكر جورة سرار","LB_Akka_Akka_Hokr_Jouret_","35239","0.77735206","34.63062579","36.10886626","","22700",""
"Akkar","Akkar","Houaich","الحويش","LB_Akka_Akka_Houaich","35322","6.40209745","34.49288641","36.12002845","","22700",""
"Akkar","Akkar","Hrar","حرار","LB_Akka_Akka_Hrar","35328","7.66597128","34.45808591","36.12819689","","22700",""
"Akkar","Akkar","Idbil","عدبل","LB_Akka_Akka_Idbil","35117","1.92660854","34.53283077","36.10081511","","22700",""
"Akkar","Akkar","Ilat","ايلات","LB_Akka_Akka_Ilat","35145","4.01418107","34.52030063","36.10276255","","22700",""
"Akkar","Akkar","Janine","جنين","LB_Akka_Akka_Janine","35263","2.74300066","34.63227332","36.14076387","","22700",""
"Akkar","Akkar","Jdeidet El-Qaitaa","جديدة القيطع","LB_Akka_Akka_Jdeidet_El_Q","35344","6.19403749","34.46277824","36.00134845","","22700",""
"Akkar","Akkar","Jdidet Ej-Joumeh","جديدة الجومه","LB_Akka_Akka_Jdidet_Ej_Jo","35125","0.76299275","34.53920434","36.06437948","","22700",""
"Akkar","Akkar","Jebrayel","جبرائيل","LB_Akka_Akka_Jebrayel","35163","5.52921029","34.52356599","36.12793074","","22700",""
"Akkar","Akkar","Kafr","كفر الفتوح","LB_Akka_Akka_Kafr","35423","0.974463","34.59059059","36.21106325","","22700",""
"Akkar","Akkar","Karm Aasfour","كرم عصفور","LB_Akka_Akka_Karm_Aasfour","35133","0.74164676","34.52406131","36.0667888","","22700",""
"Akkar","Akkar","Kfar Harra","كفرحره","LB_Akka_Akka_Kfar_Harra","35157","1.64888155","34.56701124","36.13698481","","22700",""
"Akkar","Akkar","Kfar Melki Aakkar","كفرملكي","LB_Akka_Akka_Kfar_Melki_A","35234","4.18318893","34.5577676","36.01442703","","22700",""
"Akkar","Akkar","Kfar Noun","كفرنون","LB_Akka_Akka_Kfar_Noun","35406","1.81368545","34.62884994","36.24971561","","22700",""
"Akkar","Akkar","Khalsa","خالصة","LB_Akka_Akka_Khalsa","35430","0.99382106","34.63310158","36.31414353","","22700",""
"Akkar","Akkar","Kharnoubet Aakkar","الخرنوبه","LB_Akka_Akka_Kharnoubet_A","35257","1.51521625","34.62988863","36.12915451","","22700",""
"Akkar","Akkar","Khirbet Char","خربة شار","LB_Akka_Akka_Khirbet_Char","35431","0.74337826","34.57884808","36.19062043","","22700",""
"Akkar","Akkar","Khirbet Daoud Aakkar","خربة داوود","LB_Akka_Akka_Khirbet_Daou","35417","1.41628417","34.58739158","36.22008973","","22700",""
"Akkar","Akkar","Khirbet Er Remmane","خربة الرمان","LB_Akka_Akka_Khirbet_Er_R","35410","2.07132694","34.62676237","36.28270468","","22700",""
"Akkar","Akkar","Khreibet Aakkar","الخريبة","LB_Akka_Akka_Khreibet_Aak","35330","2.12171262","34.47808208","36.12595768","","22700",""
"Akkar","Akkar","Khreibet Ej-Jindi","خريبة الجندي","LB_Akka_Akka_Khreibet_Ej_","35216","4.83505738","34.56671303","36.09123023","","22700",""
"Akkar","Akkar","Kneisset Aakkar","الكنيسة","LB_Akka_Akka_Kneisset_Aak","35245","1.74449689","34.61587241","36.02623351","","22700",""
"Akkar","Akkar","Kneisset Hnaider","كنيسة هنيدر","LB_Akka_Akka_Kneisset_Hna","35515","2.8465712","34.59845057","36.44330855","","22700",""
"Akkar","Akkar","Knisseh","كنيسة","LB_Akka_Akka_Knisseh","35465","1.35861066","34.56557591","36.12476431","","22700",""
"Akkar","Akkar","Kouachra","الكواشرة","LB_Akka_Akka_Kouachra","35429","5.57737257","34.61014453","36.20752006","","22700",""
"Akkar","Akkar","Koueikhat","الكويخات","LB_Akka_Akka_Koueikhat","35215","1.16353983","34.58340237","36.08934058","","22700",""
"Akkar","Akkar","Kroum El-Aarab","كروم العرب","LB_Akka_Akka_Kroum_El_Aar","35119","0.56808712","34.55579667","36.09106642","","22700",""
"Akkar","Akkar","Machha","مشحة","LB_Akka_Akka_Machha","35137","5.71813996","34.54444692","36.10957743","","22700",""
"Akkar","Akkar","Machta Hammoud","مشتى حمود","LB_Akka_Akka_Machta_Hammo","35437","19.44071905","34.63243363","36.32508771","","22700",""
"Akkar","Akkar","Majdala","مجدلا","LB_Akka_Akka_Majdala","35354","1.09418046","34.50122443","36.03526286","","22700",""
"Akkar","Akkar","Majdel Akkar","المجدل عكار","LB_Akka_Akka_Majdel_Akkar","35128","4.02383417","34.57121938","36.21080501","","22700",""
"Akkar","Akkar","Mar Touma","مار توما","LB_Akka_Akka_Mar_Touma","35167","2.25648483","34.51409148","36.01805265","","22700",""
"Akkar","Akkar","Marlaya Melhem","مار ليا ملحم","LB_Akka_Akka_Marlaya_Melh","35255","1.37508475","34.54021086","36.0234886","","22700",""
"Akkar","Akkar","Massaaoudiyeh","المسعودية","LB_Akka_Akka_Massaaoudiye","35229","5.07226948","34.61371399","36.0443259","","22700",""
"Akkar","Akkar","Mazareaa Jabal Akroum","اكروم","LB_Akka_Akka_Mazareaa_Jab","35516","88.15781902","34.55626313","36.36628163","","22700",""
"Akkar","Akkar","Mazraat Beit Ghattas","بيت غطاس","LB_Akka_Akka_Mazraat_Beit","35134","0.0392831","34.52415406","36.06156324","","22700",""
"Akkar","Akkar","Mazraat En-Nahriyeh","النهريه","LB_Akka_Akka_Mazraat_En_N","35486","7.56947363","34.60015704","36.2803954","","22700",""
"Akkar","Akkar","Menneaa","ممنع","LB_Akka_Akka_Menneaa","35371","2.5213454","34.50402295","36.17769643","","22700",""
"Akkar","Akkar","Mhammaret","المحمرة","LB_Akka_Akka_Mhammaret","35277","3.85684041","34.50639105","35.96989341","","22700",""
"Akkar","Akkar","Michmich Aakkar","مشمش","LB_Akka_Akka_Michmich_Aak","35351","37.76709159","34.44585548","36.16766793","","22700",""
"Akkar","Akkar","Mighraq Aakkar","المغراق","LB_Akka_Akka_Mighraq_Aakk","35251","0.51582681","34.61282309","36.01519148","","22700",""
"Akkar","Akkar","Minyara","منيارة","LB_Akka_Akka_Minyara","35129","1.13337532","34.5368006","36.06067816","","22700",""
"Akkar","Akkar","Mounjez","منجز","LB_Akka_Akka_Mounjez","35414","5.91389981","34.61520692","36.24652757","","22700",""
"Akkar","Akkar","Mqaiteaa","المقيطع","LB_Akka_Akka_Mqaiteaa","35261","3.65532015","34.56268415","35.9977293","","22700",""
"Akkar","Akkar","Msalla","مصلا","LB_Akka_Akka_Msalla","35451","3.27620523","34.59346507","36.16987428","","22700",""
"Akkar","Akkar","Mzeihmeh","مزيحمة","LB_Akka_Akka_Mzeihmeh","35461","1.43090781","34.60953316","36.14247121","","22700",""
"Akkar","Akkar","Nfisseh","النفيسة","LB_Akka_Akka_Nfisseh","35115","0.74567585","34.54617468","36.08832207","","22700",""
"Akkar","Akkar","Noura Et-Tahta","نورا التحتا","LB_Akka_Akka_Noura_Et_Tah","35445","3.96728601","34.6243999","36.18691175","","22700",""
"Akkar","Akkar","Ouadi El-Haour","وادي الحور","LB_Akka_Akka_Ouadi_El_Hao","35455","0.73435042","34.60979018","36.15216545","","22700",""
"Akkar","Akkar","Ouadi El-Jamous","وادي الجاموس","LB_Akka_Akka_Ouadi_El_Jam","35364","3.42595694","34.50859292","36.00929557","","22700",""
"Akkar","Akkar","Qaabrine","قعبرين","LB_Akka_Akka_Qaabrine","35233","4.17753126","34.56889822","36.02799503","","22700",""
"Akkar","Akkar","Qabaait","قبعيت","LB_Akka_Akka_Qabaait","35325","7.74156351","34.45445851","36.08138796","","22700",""
"Akkar","Akkar","Qachlaq","قشلق","LB_Akka_Akka_Qachlaq","35453","1.97084723","34.61863745","36.14940727","","22700",""
"Akkar","Akkar","Qantarat Aakkar","القنطرة","LB_Akka_Akka_Qantarat_Aak","35135","1.90519193","34.52284899","36.0796148","","22700",""
"Akkar","Akkar","Qardaf","القرقف","LB_Akka_Akka_Qardaf","35341","2.82971771","34.4923719","36.01383391","","22700",""
"Akkar","Akkar","Qarha Aakkar","قرحه عكار","LB_Akka_Akka_Qarha_Aakkar","35518","5.79166261","34.62234064","36.44525065","","22700",""
"Akkar","Akkar","Qbaiyat Aakkar","القبيات","LB_Akka_Akka_Qbaiyat_Aakk","35487","30.92493877","34.54588242","36.27700307","","22700",""
"Akkar","Akkar","Qboula","قبولا","LB_Akka_Akka_Qboula","35179","0.85903877","34.53133045","36.17900233","","22700",""
"Akkar","Akkar","Qleiaat Aakkar","القليعات","LB_Akka_Akka_Qleiaat_Aakk","35243","6.54360108","34.59441641","36.00908278","","22700",""
"Akkar","Akkar","Qloud El-Baqieh","قلود الباقية","LB_Akka_Akka_Qloud_El_Baq","35317","0.48099336","34.49686204","36.05869474","","22700",""
"Akkar","Akkar","Qornet Aakkar","القرنة","LB_Akka_Akka_Qornet_Aakka","35352","2.23464482","34.48241957","36.16524192","","22700",""
"Akkar","Akkar","Qoubber Chamra","قبة شمرا","LB_Akka_Akka_Qoubber_Cham","35269","3.56679471","34.53756892","35.99751586","","22700",""
"Akkar","Akkar","Qraiyat","القريات","LB_Akka_Akka_Qraiyat","35334","1.96411221","34.4814929","36.15322397","","22700",""
"Akkar","Akkar","Qsair Aakkar","القصير","LB_Akka_Akka_Qsair_Aakkar","35415","0.90951651","34.60819476","36.23898936","","22700",""
"Akkar","Akkar","Rahbeh","رحبة","LB_Akka_Akka_Rahbeh","35357","11.50350688","34.50211586","36.14037285","","22700",""
"Akkar","Akkar","Rihaniyet Aakkar","الريحانية","LB_Akka_Akka_Rihaniyet_Aa","35467","2.96789929","34.58198328","36.11780745","","22700",""
"Akkar","Akkar","Rmah","رماح النهريه","LB_Akka_Akka_Rmah","35404","1.97609769","34.61831138","36.26282591","","22700",""
"Akkar","Akkar","Rmoul","رمول","LB_Akka_Akka_Rmoul","35281","2.40609759","34.57373196","36.00673388","","22700",""
"Akkar","Akkar","Saadine","سعدين","LB_Akka_Akka_Saadine","35217","2.96622934","34.60204434","36.08821627","","22700",""
"Akkar","Akkar","Sadaqa","صدقة","LB_Akka_Akka_Sadaqa","35327","1.13861817","34.46514678","36.14956122","","22700",""
"Akkar","Akkar","Saidnaya","السنديانة","LB_Akka_Akka_Saidnaya","35469","0.83640393","34.58947208","36.12514175","","22700",""
"Akkar","Akkar","Sammaqiyeh","السماقية","LB_Akka_Akka_Sammaqiyeh","35271","3.34897827","34.63456511","36.00897889","","22700",""
"Akkar","Akkar","Sammouniyeh","السمونيه","LB_Akka_Akka_Sammouniyeh","35227","7.33620645","34.56939305","36.05392336","","22700",""
"Akkar","Akkar","Sayssouq","سيسوق","LB_Akka_Akka_Sayssouq","35311","1.95007884","34.4864962","36.05830784","","22700",""
"Akkar","Akkar","Semmaqli","سمقالي","LB_Akka_Akka_Semmaqli","35259","0.44539344","34.54287011","36.01386741","","22700",""
"Akkar","Akkar","Sfaynet El-Qaitaa","سفينة القيطع","LB_Akka_Akka_Sfaynet_El_Q","35324","8.02681859","34.45634407","36.0250722","","22700",""
"Akkar","Akkar","Sfinet Ed-Draib","سفينة الدريب","LB_Akka_Akka_Sfinet_Ed_Dr","35447","1.80521838","34.57705874","36.16285224","","22700",""
"Akkar","Akkar","Sindianet Zeidane","سنديانة زيدان","LB_Akka_Akka_Sindianet_Ze","35411","3.21767513","34.57568746","36.23855307","","22700",""
"Akkar","Akkar","Souaisset Aakkar","السويسة","LB_Akka_Akka_Souaisset_Aa","35143","1.2159864","34.55574459","36.11919533","","22700",""
"Akkar","Akkar","Srar","سرار","LB_Akka_Akka_Srar","35471","1.94235234","34.6167551","36.13172368","","22700",""
"Akkar","Akkar","Tall Aabbas Ech-Charqi","تل عباس الشرقي","LB_Akka_Akka_Tall_Aabbas_","35213","3.73415673","34.59880849","36.07253433","","22700",""
"Akkar","Akkar","Tall Aabbas El-Gharbi","تلعباس غربي","LB_Akka_Akka_Tall_Aabbas_","35211","5.06349062","34.58437068","36.06715819","","22700",""
"Akkar","Akkar","Tall Bireh","تلبيرة","LB_Akka_Akka_Tall_Bireh","35235","5.07837368","34.6192999","36.05709754","","22700",""
"Akkar","Akkar","Tall Hmayra","تلحميرة","LB_Akka_Akka_Tall_Hmayra","35237","3.68262306","34.62156287","36.07799996","","22700",""
"Akkar","Akkar","Tall Meaayan Tall Kiri","تلمعيان","LB_Akka_Akka_Tall_Meaayan","35231","7.26145425","34.59945833","36.0357437","","22700",""
"Akkar","Akkar","Tall Sebaal","تل سبعل","LB_Akka_Akka_Tall_Sebaal","35247","0.94284974","34.55262777","36.02922733","","22700",""
"Akkar","Akkar","Tallet Chattaha","شطاحة","LB_Akka_Akka_Tallet_Chatt","35173","0.08026251","34.53292269","36.17074551","","22700",""
"Akkar","Akkar","Tikrit","تكريت","LB_Akka_Akka_Tikrit","35171","5.6468503","34.51526977","36.16358514","","22700",""
"Akkar","Akkar","Tleil","التليل","LB_Akka_Akka_Tleil","35459","3.0727586","34.59606861","36.13922764","","22700",""
"Akkar","Akkar","Tshea","تاشع","LB_Akka_Akka_Tshea","35356","3.78667116","34.49831863","36.19665293","","22700",""
"Akkar","Akkar","Zouarib","الزواريب","LB_Akka_Akka_Zouarib","35127","0.75345555","34.53374425","36.07029886","","22700",""
"Akkar","Akkar","Zouq El Hosniyeh","ذوق الحصينة","LB_Akka_Akka_Zouq_El_Hosn","35151","0.96676458","34.52177905","36.03965052","","22700",""
"Akkar","Akkar","Zouq El-Hadara","ذوق حدارة","LB_Akka_Akka_Zouq_El_Hada","35159","0.73242281","34.51215221","36.03527514","","22700",""
"Akkar","Akkar","Zouq El-Hbalsa","ذوق الحبالصة","LB_Akka_Akka_Zouq_El_Hbal","35153","0.55206635","34.51528773","36.03966955","","22700",""
"Akkar","Akkar","Zouq El-Moqachrine","ذوق المقشرين","LB_Akka_Akka_Zouq_El_Moqa","35161","0.25224387","34.51860345","36.02861205","","22700",""
"Baalbek-El Hermel","Baalbek","Aadous","عدّوس","LB_Baal_Baal_Aadous","53127","1.97888343","34.02197337","36.15066178","","22700",""
"Baalbek-El Hermel","Baalbek","Aain Baalbek","العين","LB_Baal_Baal_Aain_Baalbek","53217","8.78188316","34.22358","36.38539791","","22700",""
"Baalbek-El Hermel","Baalbek","Aain Bourday","عين بورداي","LB_Baal_Baal_Aain_Bourday","53115","18.97634118","33.97454041","36.21629237","","22700",""
"Baalbek-El Hermel","Baalbek","Aain Ej-Jaouz Baalbek","عين الجوزة","LB_Baal_Baal_Aain_Ej_Jaou","53473","25.96463393","33.85375463","36.30302343","","22700",""
"Baalbek-El Hermel","Baalbek","Aain El-Barnaya","عين البنية","LB_Baal_Baal_Aain_El_Barn","53465","17.6063331","33.88718376","36.25368819","","22700",""
"Baalbek-El Hermel","Baalbek","Aain Es-Siyaa Chadoura","حصن الشادورا","LB_Baal_Baal_Aain_Es_Siya","53163","24.48412782","33.95254571","36.27740025","","22700",""
"Baalbek-El Hermel","Baalbek","Aamchki","عمشكي","LB_Baal_Baal_Aamchki","53131","55.45878817","33.99182521","36.30352392","","22700",""
"Baalbek-El Hermel","Baalbek","Aarsal","عرسال","LB_Baal_Baal_Aarsal","53231","316.89695201","34.14183114","36.45730012","","22700",""
"Baalbek-El Hermel","Baalbek","Aaynata Baalbek","عيناتا","LB_Baal_Baal_Aaynata_Baal","53377","45.96328482","34.19496294","36.0769738","","22700",""
"Baalbek-El Hermel","Baalbek","Baalbek","بعلبك","LB_Baal_Baal_Baalbek","53111","37.42541076","34.01729491","36.20460033","","22700",""
"Baalbek-El Hermel","Baalbek","Bajjaje","بجاجة","LB_Baal_Baal_Bajjaje","53221","6.32181788","34.22548892","36.34290465","","22700",""
"Baalbek-El Hermel","Baalbek","Barqa","برقا","LB_Baal_Baal_Barqa","53344","19.52259426","34.18568872","36.14070679","","22700",""
"Baalbek-El Hermel","Baalbek","Bechouat","بشوات","LB_Baal_Baal_Bechouat","53333","14.32749495","34.15141942","36.1334637","","22700",""
"Baalbek-El Hermel","Baalbek","Bednayel Baalbak","بدنايل","LB_Baal_Baal_Bednayel_Baa","53411","50.27701486","33.92408732","35.94041131","","22700",""
"Baalbek-El Hermel","Baalbek","Beit Chama","بيت شاما","LB_Baal_Baal_Beit_Chama","53417","5.72160498","33.92478885","36.02585111","","22700",""
"Baalbek-El Hermel","Baalbek","Bouday","بوداي","LB_Baal_Baal_Bouday","53459","59.88698018","34.06116581","36.05390214","","22700",""
"Baalbek-El Hermel","Baalbek","Brital","بريتال","LB_Baal_Baal_Brital","53453","42.96885778","33.93200008","36.18491271","","22700",""
"Baalbek-El Hermel","Baalbek","Btedaai","بتدعي","LB_Baal_Baal_Btedaai","53375","12.98828192","34.10770594","36.09957226","","22700",""
"Baalbek-El Hermel","Baalbek","Chaaibeh","جبل الشعيبة","LB_Baal_Baal_Chaaibeh","53469","17.53874666","33.92060466","36.25743601","","22700",""
"Baalbek-El Hermel","Baalbek","Chaat","شعت","LB_Baal_Baal_Chaat","53274","27.48630369","34.13808863","36.26947092","","22700",""
"Baalbek-El Hermel","Baalbek","Chlifa","شليفا","LB_Baal_Baal_Chlifa","53467","17.25629049","34.08149825","36.10996825","","22700",""
"Baalbek-El Hermel","Baalbek","Chmistar","شمسطار","LB_Baal_Baal_Chmistar","53429","24.27202489","33.95892496","36.01441757","","22700",""
